mq135,mq8,co2_index,estado
2218,998,739.0000000000001,OCUPADO
2166,974,788.2,OCUPADO
2193,986,762.7,OCUPADO
2183,982,772.1,OCUPADO
2189,985,766.4,OCUPADO
2187,984,768.3000000000001,OCUPADO
2205,992,751.3,OCUPADO
2183,982,772.1,OCUPADO
2196,988,759.8000000000001,OCUPADO
2187,984,768.3000000000001,OCUPADO
2193,986,762.7,OCUPADO
2192,986,763.6,OCUPADO
2209,994,747.5,OCUPADO
2186,983,769.3000000000001,OCUPADO
2218,998,739.0000000000001,OCUPADO
2202,990,754.2,OCUPADO
2190,985,765.5,OCUPADO
2206,992,750.4,OCUPADO
2223,1000,734.3000000000001,OCUPADO
2205,992,751.3,OCUPADO
2195,987,760.8,OCUPADO
2219,998,738.1,OCUPADO
2198,989,757.9000000000001,OCUPADO
2199,989,757.0,OCUPADO
2218,998,739.0000000000001,OCUPADO
2211,994,745.7,OCUPADO
2192,986,763.6,OCUPADO
2203,991,753.2,OCUPADO
2209,994,747.5,OCUPADO
2402,1080,565.2,OCUPADO
1904,856,1035.8,OCUPADO
2223,1000,734.3000000000001,OCUPADO
2247,1011,711.6,OCUPADO
2235,1005,723.0,OCUPADO
2240,1008,718.2,OCUPADO
2247,1011,711.6,OCUPADO
2277,1024,683.3000000000001,OCUPADO
2253,1013,706.0000000000001,OCUPADO
2254,1014,705.0,OCUPADO
2222,999,735.3000000000001,OCUPADO
2258,1016,701.2,OCUPADO
2247,1011,711.6,OCUPADO
2256,1015,703.1,OCUPADO
2266,1019,693.7,OCUPADO
2262,1017,697.5,OCUPADO
2243,1009,715.4000000000001,OCUPADO
2265,1019,694.6,OCUPADO
2263,1018,696.5000000000001,OCUPADO
2267,1020,692.7,OCUPADO
2267,1020,692.7,OCUPADO
2256,1015,703.1,OCUPADO
2270,1021,689.9,OCUPADO
2268,1020,691.8000000000001,OCUPADO
2266,1019,693.7,OCUPADO
2260,1017,699.3,OCUPADO
2235,1005,723.0,OCUPADO
2270,1021,689.9,OCUPADO
2320,1044,642.6,OCUPADO
2304,1036,657.8,OCUPADO
2314,1041,648.3,OCUPADO
2309,1039,653.0,OCUPADO
2289,1030,671.9,OCUPADO
2302,1035,659.7,OCUPADO
2307,1038,654.9000000000001,OCUPADO
2306,1037,655.9,OCUPADO
2291,1030,670.1,OCUPADO
2242,1008,716.4000000000001,OCUPADO
2267,1020,692.7,OCUPADO
2216,997,740.9,OCUPADO
2289,1030,671.9,OCUPADO
2262,1017,697.5,OCUPADO
2273,1022,687.1,OCUPADO
2301,1035,660.6,OCUPADO
2291,1030,670.1,OCUPADO
2277,1024,683.3000000000001,OCUPADO
2252,1013,706.9000000000001,OCUPADO
2416,1087,551.9,OCUPADO
2192,986,763.6,OCUPADO
2320,1044,642.6,OCUPADO
2329,1048,634.1,OCUPADO
2319,1043,643.6,OCUPADO
2327,1047,636.0,OCUPADO
2318,1043,644.5000000000001,OCUPADO
2301,1035,660.6,OCUPADO
2295,1032,666.3,OCUPADO
2288,1029,672.9000000000001,OCUPADO
2257,1015,702.2,OCUPADO
2278,1025,682.3000000000001,OCUPADO
2273,1022,687.1,OCUPADO
2290,1030,671.0,OCUPADO
2293,1031,668.2,OCUPADO
2351,1057,613.4,OCUPADO
2314,1041,648.3,OCUPADO
2319,1043,643.6,OCUPADO
2327,1047,636.0,OCUPADO
2340,1053,623.7,OCUPADO
2338,1052,625.6,OCUPADO
2345,1055,619.0,OCUPADO
2320,1044,642.6,OCUPADO
2333,1049,630.4000000000001,OCUPADO
2346,1055,618.1,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2336,1051,627.5,OCUPADO
2368,1065,597.3000000000001,OCUPADO
2338,1052,625.6,OCUPADO
2357,1060,607.7,OCUPADO
2375,1068,590.7,OCUPADO
2342,1053,621.9000000000001,OCUPADO
2352,1058,612.4000000000001,OCUPADO
2339,1052,624.6999999999999,OCUPADO
2343,1054,620.9000000000001,OCUPADO
2337,1051,626.6,OCUPADO
2348,1056,616.2,OCUPADO
2349,1057,615.1999999999999,OCUPADO
2353,1058,611.5000000000001,OCUPADO
2345,1055,619.0,OCUPADO
2350,1057,614.3,OCUPADO
2336,1051,627.5,OCUPADO
2341,1053,622.8000000000001,OCUPADO
2331,1048,632.3000000000001,OCUPADO
2341,1053,622.8000000000001,OCUPADO
2269,1021,690.8,OCUPADO
2342,1053,621.9000000000001,OCUPADO
2401,1080,566.1,OCUPADO
2329,1048,634.1,OCUPADO
2325,1046,637.9,OCUPADO
2331,1048,632.3000000000001,OCUPADO
2170,976,784.4,OCUPADO
